Part,Amount,Price,Link
PCB,5,$7 ,jlcpcb.com/
100nF Capacitor,31,$0.35 ,https://www.lcsc.com/product-detail/C14663.html
39 pF Capacitor,4,$0.32 ,https://www.lcsc.com/product-detail/C107049.html
10 uF Capacitor,1,$0.25 ,https://www.lcsc.com/product-detail/C19702.html
Ethernet Adapter,1,$4.26 ,https://www.lcsc.com/product-detail/C2802072.html
10k ohm resistor,2,$0.09 ,https://www.lcsc.com/product-detail/C60490.html
200k ohm resistor,2,$0.16 ,https://www.lcsc.com/product-detail/C105574.html
20k ohm resistor,3,$0.10 ,https://www.lcsc.com/product-detail/C93942.html
1k ohm resistor,1,$0.09 ,https://www.lcsc.com/product-detail/C106235.html
4.7 k ohm resistor,1,$0.34 ,https://www.lcsc.com/product-detail/C509343.html
2.49k ohm resistor,1,$0.57 ,https://shopee.vn/Tr%E1%BB%9F-d%C3%A1n-0402-tr%E1%BB%8B-s%E1%BB%91-trong-2K-(-2K-2.2K-2.26K-2.32K-2.49K-2.55K-2.61K-2.67K-2.7K-2.74K-2.8K-2.87K-)-d%C3%B9ng-cho-th%E1%BB%A3-i.72014335.17404856692
RJ45 connector,1,$2.51 ,https://www.lcsc.com/product-detail/C54408.html
USB C mux,2,$3.89 ,https://www.lcsc.com/product-detail/C165155.html
USB C receptacle,2,$1.48 ,https://www.lcsc.com/product-detail/C20883027.html
USB Controller,1,$1.46 ,https://www.lcsc.com/product-detail/C7501408.html
25mhz Crystal,2,$0.75 ,https://www.lcsc.com/product-detail/C13740.html
900k ohm resistor,1,$0.45 ,https://www.lcsc.com/product-detail/C871726.html
USB A receptacle,2,$0.65 ,https://www.lcsc.com/product-detail/C2845330.html
Total,,24.11$ (shipping not included),
