Designator,Mid X,Mid Y,Rotation,Layer
C1,240.5,-66.3,90.0,bottom
C10,230.7,-60.8,0.0,top
C11,202.15,-68.3,90.0,top
C12,209.846683,-42.123484,270.0,top
C13,220.5,-50.5,0.0,top
C14,219.6,-46.4,180.0,top
C15,219.6,-48.0,180.0,top
C16,220.5,-52.1,0.0,top
C17,207.5,-52.1,0.0,top
C18,193.1,-64.4,180.0,top
C19,223.1,-52.7,270.0,top
C2,239.1,-66.3,90.0,bottom
C20,181.3,-62.37,0.0,top
C21,181.3,-60.8,0.0,top
C22,186.2,-63.7,0.0,top
C23,230.0,-56.4,180.0,top
C24,230.0,-58.0,180.0,top
C25,197.1,-67.2,270.0,top
C26,230.7,-62.3,180.0,top
C28,177.9,-63.1,180.0,bottom
C29,177.9,-61.6,0.0,bottom
C3,237.7,-66.3,90.0,bottom
C30,173.2,-50.2,270.0,bottom
C31,171.7,-50.2,90.0,bottom
C32,170.2,-50.2,270.0,bottom
C33,200.25,-68.3,90.0,top
C34,197.6,-75.4,90.0,top
C35,216.2,-75.7,90.0,top
C36,219.9,-71.4,90.0,top
C37,217.9,-71.4,90.0,top
C4,236.4,-66.3,90.0,bottom
C5,201.2,-52.4,180.0,top
C6,216.2,-43.1,270.0,top
C7,213.2,-39.6,0.0,top
C8,181.65,-55.1,0.0,top
C9,181.65,-56.6,180.0,top
ETHERNET_CONTROLLER1,212.7,-48.9,0.0,top
R1,194.25,-59.1,180.0,top
R10,216.71,-54.3,180.0,top
R11,216.8,-55.8,0.0,top
R12,222.1,-63.4,0.0,top
R2,204.5,-52.4,0.0,top
R3,210.0,-53.8,270.0,top
R4,209.2,-45.6,180.0,top
R6,200.5,-34.4,0.0,bottom
R7,189.3,-54.0,180.0,top
R8,191.15,-59.6,90.0,top
R9,217.0,-57.7,0.0,top
RJ45,200.1,-38.355,0.0,top
U1,224.6,-58.8,270.0,top
U2,187.662544,-58.000013,90.0,top
USBC_IN_1,172.25,-57.8,270.0,top
USBC_OUT_1,238.845,-59.3,90.0,top
USB_CONTROLLER1,205.15,-58.2,180.0,top
USB_OUT_1,206.85,-77.95,0.0,top
USB_OUT_2,226.45,-77.95,0.0,top
X1,213.3,-43.0,90.0,top
X2,193.7,-67.175,180.0,top
